"","1","2","3","4","5","6","7","8","9","10"
"LASSO",0.981497418244406,0.983437544264352,0.984083820662768,0.987694752344779,0.982594209558823,0.98065731589434,0.993176788787804,0.976254254697791,0.979860067989564,0.989031583515811
"KNN",0.937023604622572,0.976496893907202,0.933586744639376,0.952891248740408,0.945456112132353,0.964175100116392,0.955608146873207,0.929004451068458,0.926515930113052,0.939545481446411
"PCR",0.973670190967953,0.973522329468423,0.98135477582846,0.985272459499264,0.977251838235294,0.978270304393285,0.988832882550611,0.974421461803388,0.974246976045537,0.987177210944744
"RandomForest",0.98112859601672,0.97650701147332,0.982582846003899,0.989584140764282,0.98095703125,0.986230297291432,0.988648471436767,0.983353809590945,0.977221519487707,0.98918940245803
"LDA",0.973629210720433,0.973400918675004,0.981081871345029,0.985253081156499,0.97723268995098,0.978211122289953,0.988832882550611,0.97426033715333,0.97420744722903,0.986822118324752
"SVMpolynomial",0.977481353987378,0.977488415386795,0.975175438596491,0.982094411285947,0.972886029411765,0.968603894182399,0.982358003442341,0.97796620410465,0.968060716262155,0.97816180387051
"SVMlinear",0.980288500942546,0.983639895586718,0.983830409356725,0.986406092550965,0.982555912990196,0.978783215955495,0.992070322104746,0.973494995065558,0.976974464384536,0.988281943540273
"LASSOcont",0.961540037701828,0.972095752645744,0.975867446393762,0.970312378885358,0.972541360294118,0.975577518691681,0.986497008441931,0.971057984733439,0.971321843624002,0.970053855714032
"KNNcont",0.818068191131874,0.819927558226593,0.805653021442495,0.799918610960391,0.833141850490196,0.804847014262887,0.838988607491189,0.830980242089787,0.789024824096767,0.84939141070407
"PCRcont",0.942381771985903,0.947044658936846,0.953469785575049,0.942426943647779,0.949563419117647,0.962281272809769,0.964859437751004,0.947010130712372,0.947762668985691,0.959381349746503
"RandomForestcont",0.980421686746988,0.981970497177199,0.985214424951267,0.988237345942175,0.989765242034314,0.989593813497465,0.993340709777887,0.986092928641921,0.98306190212665,0.991813142372413
"LDAcont",0.942402262109663,0.947975475019729,0.95280701754386,0.943337725757693,0.945580575980392,0.962143181235328,0.965863453815261,0.947533785825059,0.945489762036525,0.959124893965398
"SVMlinearcont",0.962410867961642,0.97045670693458,0.977894736842105,0.969905433687311,0.972694546568627,0.976524432344992,0.985021719531186,0.969527300557894,0.971717131789074,0.971523544613442
"GBM",0.982439963937382,0.980908152734778,0.984795321637427,0.987936981629331,0.985179227941177,0.982353869523189,0.993463650520449,0.979517028861453,0.978891611985137,0.989248584561362
"GBMcont",0.983566920744201,0.977802059936462,0.981812865497076,0.989419424850787,0.984355851715686,0.98625002465921,0.993914433243177,0.978369015729794,0.980779112973358,0.989149947722475
"ensemble",0.986251126956807,0.984479653574536,0.990116959064328,0.991337880784435,0.988989736519608,0.990175770846896,0.995615113515286,0.98509596986969,0.981026168076528,0.991990688682409
